family,instance_name,source_path,source_path_relative,problem_size,num_variables,num_equalities,num_inequalities,optimum_objective,optimum_source,solution_vector_json,variable_names_json,num_selected_variables,solve_status,solve_details_json,objective_check,is_feasible,solved_at_utc,solve_wall_clock_seconds
mdkp,hp1,/Users/llee/Projects/blp-qubo/data/mdkp_instances/hp1.dat,data/mdkp_instances/hp1.dat,28,28,0,4,-3418.0,cplex_cache,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26"", ""x_27""]",18,integer optimal solution,"{""best_bound"": -3418.0, ""columns"": 28, ""gap"": 0.0, ""nb_iterations"": 51, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.018613815307617188}",-3418.0,True,2026-04-20T16:09:23.526440+00:00,0.02618012501625344
mdkp,hp2,/Users/llee/Projects/blp-qubo/data/mdkp_instances/hp2.dat,data/mdkp_instances/hp2.dat,35,35,0,4,-3186.0,cplex_cache,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26"", ""x_27"", ""x_28"", ""x_29"", ""x_30"", ""x_31"", ""x_32"", ""x_33"", ""x_34""]",23,integer optimal solution,"{""best_bound"": -3186.0, ""columns"": 35, ""gap"": 0.0, ""nb_iterations"": 60, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.02432990074157715}",-3186.0,True,2026-04-20T16:09:23.558605+00:00,0.031856290996074677
mdkp,pb1,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pb1.dat,data/mdkp_instances/pb1.dat,27,27,0,4,-3090.0,cplex_cache,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26""]",17,integer optimal solution,"{""best_bound"": -3090.0, ""columns"": 27, ""gap"": 0.0, ""nb_iterations"": 97, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.02611708641052246}",-3090.0,True,2026-04-20T16:09:23.592658+00:00,0.03372016700450331
mdkp,pb2,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pb2.dat,data/mdkp_instances/pb2.dat,34,34,0,4,-3186.0,cplex_cache,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26"", ""x_27"", ""x_28"", ""x_29"", ""x_30"", ""x_31"", ""x_32"", ""x_33""]",23,integer optimal solution,"{""best_bound"": -3186.0, ""columns"": 34, ""gap"": 0.0, ""nb_iterations"": 53, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.02444005012512207}",-3186.0,True,2026-04-20T16:09:23.625045+00:00,0.03206041699741036
mdkp,pb4,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pb4.dat,data/mdkp_instances/pb4.dat,29,29,0,2,-95168.0,cplex_cache,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26"", ""x_27"", ""x_28""]",14,integer optimal solution,"{""best_bound"": -95168.0, ""columns"": 29, ""gap"": 0.0, ""nb_iterations"": 18, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.043045997619628906}",-95168.0,True,2026-04-20T16:09:23.675927+00:00,0.05055120796896517
mdkp,pb5,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pb5.dat,data/mdkp_instances/pb5.dat,20,20,0,10,-2139.0,cplex_cache,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19""]",10,integer optimal solution,"{""best_bound"": -2139.0, ""columns"": 20, ""gap"": 0.0, ""nb_iterations"": 45, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.024164915084838867}",-2139.0,True,2026-04-20T16:09:23.708088+00:00,0.03182749997358769
mdkp,pet2,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pet2.dat,data/mdkp_instances/pet2.dat,10,10,0,10,-87061.0,cplex_cache,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9""]",5,integer optimal solution,"{""best_bound"": -87061.0, ""columns"": 10, ""gap"": 0.0, ""nb_iterations"": 6, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.008672952651977539}",-87061.0,True,2026-04-20T16:09:23.725101+00:00,0.016652207996230572
mdkp,pet3,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pet3.dat,data/mdkp_instances/pet3.dat,15,15,0,10,-4015.0,cplex_cache,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14""]",9,integer optimal solution,"{""best_bound"": -4015.0, ""columns"": 15, ""gap"": 0.0, ""nb_iterations"": 12, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.015964031219482422}",-4015.0,True,2026-04-20T16:09:23.748950+00:00,0.02356108295498416
mdkp,pet4,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pet4.dat,data/mdkp_instances/pet4.dat,20,20,0,10,-6120.0,cplex_cache,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19""]",9,integer optimal solution,"{""best_bound"": -6120.0, ""columns"": 20, ""gap"": 0.0, ""nb_iterations"": 13, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.01779317855834961}",-6120.0,True,2026-04-20T16:09:23.775139+00:00,0.025901584012899548
mdkp,pet5,/Users/llee/Projects/blp-qubo/data/mdkp_instances/pet5.dat,data/mdkp_instances/pet5.dat,28,28,0,10,-12400.0,cplex_cache,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[""x_0"", ""x_1"", ""x_2"", ""x_3"", ""x_4"", ""x_5"", ""x_6"", ""x_7"", ""x_8"", ""x_9"", ""x_10"", ""x_11"", ""x_12"", ""x_13"", ""x_14"", ""x_15"", ""x_16"", ""x_17"", ""x_18"", ""x_19"", ""x_20"", ""x_21"", ""x_22"", ""x_23"", ""x_24"", ""x_25"", ""x_26"", ""x_27""]",18,integer optimal solution,"{""best_bound"": -12400.0, ""columns"": 28, ""gap"": 0.0, ""nb_iterations"": 9, ""problem_type"": ""MILP"", ""status"": ""integer optimal solution"", ""status_code"": 101, ""time"": 0.025315046310424805}",-12400.0,True,2026-04-20T16:09:23.810398+00:00,0.03494141699047759
