hardware_family,hardware_size,family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,optimum_probability_median,optimum_probability_q25,optimum_probability_q75,optimum_probability_mean,optimum_probability_ci95_low,optimum_probability_ci95_high,sqa_energy_gap_median,sqa_energy_gap_q25,sqa_energy_gap_q75,sqa_energy_gap_mean,sqa_energy_gap_ci95_low,sqa_energy_gap_ci95_high,sqa_optimum_rate_median,sqa_optimum_rate_q25,sqa_optimum_rate_q75,sqa_optimum_rate_mean,sqa_optimum_rate_ci95_low,sqa_optimum_rate_ci95_high,mean_chain_break_fraction_median,mean_chain_break_fraction_q25,mean_chain_break_fraction_q75,mean_chain_break_fraction_mean,mean_chain_break_fraction_ci95_low,mean_chain_break_fraction_ci95_high,broken_read_rate_median,broken_read_rate_q25,broken_read_rate_q75,broken_read_rate_mean,broken_read_rate_ci95_low,broken_read_rate_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
chimera,16,mdkp,5,projected_full,5,20,0.976,0.712,1.376,1.0240000000000002,0.8128000000000002,1.2400000000000002,0.16399999999999998,0.11575,0.23025,0.17385,0.13664625,0.21110125,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.02225,0.043,0.03200000000000001,0.0256,0.038701249999999986,0.3310916051675128,0.2910836723328696,0.34067785257090144,0.32453543931588563,0.3044115025080164,0.3472038078252311,0.0305,0.02225,0.043,0.03200000000000001,0.025448750000000003,0.03870124999999999,0.15180000000000002,0.1354,0.1688,0.15044000000000002,0.1353695,0.164991,0.5805,0.539,0.63575,0.5734999999999999,0.5304987499999999,0.6144549999999999,1.0,1.0
chimera,16,mdkp,5,projected_topology,5,20,1.3599999999999999,1.04,1.568,1.3055999999999999,1.0640000000000003,1.5712,0.2485,0.188,0.35324999999999995,0.24889999999999998,0.19889125,0.29610125000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.042499999999999996,0.0325,0.049,0.040799999999999996,0.033150000000000006,0.04905,0.33594841589342317,0.3129999839531989,0.3587345942203075,0.3420297741405544,0.3241005392225614,0.3604502193340443,0.042499999999999996,0.0325,0.049,0.040799999999999996,0.032850000000000004,0.048850000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
chimera,16,mdkp,5,projected_up_support,5,20,1.232,0.96,1.3760000000000001,1.1360000000000003,0.9200000000000002,1.3488000000000002,0.1825,0.11649999999999999,0.267,0.18405,0.14574625,0.22300249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.03,0.043000000000000003,0.03550000000000001,0.028500000000000004,0.04215000000000001,0.3035283966231166,0.29233432152154304,0.3288803815884388,0.3080523104915449,0.2947559019326205,0.3217146010325205,0.0385,0.03,0.043000000000000003,0.03550000000000001,0.028550000000000002,0.04220124999999999,0.15230000000000002,0.1321,0.17035,0.15054,0.13509925,0.16587025000000002,0.584,0.5155000000000001,0.641,0.5718000000000001,0.5264,0.6168024999999999,1.0,1.0
chimera,16,mdkp,5,unbalanced,5,20,0.704,0.27999999999999997,1.272,1.0912,0.6784000000000001,1.5568000000000002,0.14750000000000002,0.0675,0.227,0.15560000000000002,0.11284874999999998,0.19975125,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.008749999999999999,0.03975,0.0341,0.021550000000000003,0.04905124999999998,0.2866444843475047,0.24778305036144624,0.3354479940951475,0.2884971931757748,0.2606624279141459,0.3167474084261166,0.022,0.008749999999999999,0.03975,0.0341,0.021050000000000006,0.048299999999999996,0.2752,0.26545,0.27935000000000004,0.27365000000000006,0.27037000000000005,0.27691050000000006,0.843,0.8262499999999999,0.848,0.8378,0.8318000000000001,0.8433999999999999,1.0,1.0
chimera,16,mdkp,10,projected_full,10,20,1.024,1.024,2.048,1.5872,1.0240000000000002,2.2016000000000004,0.1325,0.10475,0.17025,0.14434999999999998,0.12350000000000001,0.16775249999999997,0.0,0.0,0.0,0.00091488011507476,0.0,0.0022790355840653026,0.001,0.001,0.002,0.00155,0.0010500000000000002,0.00215,0.41987652666404174,0.40085965730680206,0.4398846404051202,0.4192484142577351,0.40525900794489733,0.43335386837117146,0.001,0.001,0.002,0.00155,0.0010487500000000004,0.0021500000000000004,0.4661,0.44337499999999996,0.48514999999999997,0.46772,0.454363375,0.4821099999999999,0.9984999999999999,0.997,1.0,0.99835,0.9977,0.9989500000000001,0.85,0.85
chimera,16,mdkp,10,projected_topology,10,20,2.048,1.024,3.072,2.1504000000000003,1.4848000000000001,2.8160000000000003,0.11299999999999999,0.098,0.145,0.1295,0.1089,0.15305125,0.0,0.0,0.0,0.00269654996246936,0.0,0.007616493413991237,0.002,0.001,0.003,0.0021000000000000003,0.0014500000000000001,0.0027500000000000003,0.3720179872783055,0.3576542483852904,0.4001859801517633,0.37807489906955705,0.3617257977734326,0.3956973258251975,0.002,0.001,0.003,0.0021000000000000003,0.00145,0.0027999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85
chimera,16,mdkp,10,projected_up_support,10,20,1.024,1.024,1.28,1.1264000000000003,0.7680000000000001,1.4848000000000003,0.1405,0.11025,0.1785,0.14909999999999998,0.12529875000000001,0.1755,0.0,0.0,0.0,0.0065580907095683745,0.00028110359187922954,0.015669788838985475,0.001,0.001,0.00125,0.0011000000000000003,0.0008,0.0014500000000000003,0.43011761244010516,0.38763299667662415,0.4555283612229018,0.4253353965705674,0.4092473174489753,0.4425199522125271,0.001,0.001,0.00125,0.0011000000000000003,0.0008,0.0014500000000000003,0.46629999999999994,0.44417500000000004,0.48700000000000004,0.46797500000000003,0.453399625,0.48362550000000015,0.9984999999999999,0.997,0.99925,0.9979999999999999,0.99695,0.99885,0.8,0.8
chimera,16,mdkp,10,unbalanced,10,20,1.024,0.0,3.3280000000000003,1.6384000000000003,0.8704000000000001,2.4576000000000002,0.0945,0.074,0.1195,0.10370000000000001,0.08685000000000001,0.12445124999999997,0.0,0.0,0.02101235545168145,0.017354287355608115,0.0060994175965379226,0.03039496678884706,0.001,0.0,0.0032500000000000003,0.0016000000000000003,0.0008500000000000001,0.0024000000000000002,0.40349544012158844,0.3642330627656385,0.4256381904347277,0.4024719909627258,0.3778024863722186,0.4294203182271916,0.001,0.0,0.0032500000000000003,0.0016000000000000003,0.0009,0.0024000000000000002,0.6890499999999999,0.6733750000000001,0.699925,0.6869749999999999,0.678484625,0.6953449999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6
chimera,16,mdkp,15,projected_full,15,20,0.0,0.0,0.0,1.6384,0.0,4.9152000000000005,0.152,0.1195,0.19425,0.15660000000000002,0.13364874999999998,0.18050249999999998,0.09046177647040501,0.07259501427599381,0.12158413020107037,0.0911064292747368,0.07010329325793371,0.11151472947357971,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.45981781329612215,0.4334132750731915,0.4791028641805672,0.45675282705032105,0.44238763775158524,0.47030955418995535,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.6017666666666668,0.5786,0.6209,0.59717,0.5851428333333334,0.6089179166666665,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
chimera,16,mdkp,15,projected_topology,15,20,0.0,0.0,8.192,9.830400000000001,3.2768,18.022400000000005,0.11499999999999999,0.0945,0.1315,0.11495,0.09675000000000002,0.13474999999999998,0.057025360392405355,0.00046109149469812785,0.09054855794171737,0.053500212725775764,0.03533218137460961,0.07146323547599365,0.0,0.0,0.00025,0.00030000000000000003,0.0001,0.0005500000000000001,0.3932988632304538,0.38197666557612725,0.4259525992090996,0.40046403178115375,0.38409621512445913,0.4170874423015813,0.0,0.0,0.00025,0.00030000000000000003,0.0001,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
