hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_chain_strength_fraction,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
chimera,16,mdkp,5,projected_full,5,mean,20,1.0,1.0240000000000002,0.17385,0.0,0.03200000000000001,0.32453543931588563,0.03200000000000001,0.15044000000000002,0.5734999999999999
chimera,16,mdkp,5,projected_full,5,std,20,1.0,0.48635789291426124,0.08616685847818754,0.0,0.015198684153570664,0.049113688004149884,0.015198684153570664,0.0335819951759868,0.09711050406624404
chimera,16,mdkp,5,projected_topology,5,mean,20,1.0,1.3055999999999999,0.24889999999999998,0.0,0.040799999999999996,0.3420297741405544,0.040799999999999996,0.0,0.0
chimera,16,mdkp,5,projected_topology,5,std,20,1.0,0.5804803528113592,0.10875380453115191,0.0,0.018140011025354976,0.04156956460987375,0.018140011025354976,0.0,0.0
chimera,16,mdkp,5,projected_up_support,5,mean,20,1.0,1.1360000000000003,0.18405,0.0,0.03550000000000001,0.3080523104915449,0.03550000000000001,0.15054,0.5718000000000001
chimera,16,mdkp,5,projected_up_support,5,std,20,1.0,0.4954836021504647,0.0873833365121749,0.0,0.015483862567202022,0.03090050912183788,0.015483862567202022,0.03524202604845528,0.10197283952111953
chimera,16,mdkp,5,unbalanced,5,mean,20,1.0,1.0912,0.15560000000000002,0.0,0.0341,0.2884971931757748,0.0341,0.27365000000000006,0.8378
chimera,16,mdkp,5,unbalanced,5,std,20,1.0,1.0098978958290783,0.0981149326045735,0.0,0.0315593092446587,0.06316947778449043,0.0315593092446587,0.007477399280498531,0.01328382475042487
chimera,16,mdkp,10,projected_full,10,mean,20,1.0,1.5872,0.14434999999999998,0.00091488011507476,0.00155,0.4192484142577351,0.00155,0.46772,0.99835
chimera,16,mdkp,10,projected_full,10,std,20,1.0,1.3143549596665276,0.05088052181336193,0.002705152137307039,0.0012835497652993434,0.032024074701565125,0.0012835497652993434,0.03119922434933277,0.0014239030865898156
chimera,16,mdkp,10,projected_topology,10,mean,20,1.0,2.1504000000000003,0.1295,0.00269654996246936,0.0021000000000000003,0.37807489906955705,0.0021000000000000003,0.0,0.0
chimera,16,mdkp,10,projected_topology,10,std,20,1.0,1.5495931853231675,0.0514076842505087,0.01024574598191022,0.0015132745950421557,0.0387801097407443,0.0015132745950421557,0.0,0.0
chimera,16,mdkp,10,projected_up_support,10,mean,20,1.0,1.1264000000000003,0.14909999999999998,0.0065580907095683745,0.0011000000000000003,0.4253353965705674,0.0011000000000000003,0.46797500000000003,0.9979999999999999
chimera,16,mdkp,10,projected_up_support,10,std,20,1.0,0.7865493245817455,0.058104130662113854,0.01787174500549076,0.0007681145747868609,0.03906848228152984,0.0007681145747868609,0.03573612842768507,0.002167948338867882
chimera,16,mdkp,10,unbalanced,10,mean,20,1.0,1.6384000000000003,0.10370000000000001,0.017354287355608115,0.0016000000000000003,0.4024719909627258,0.0016000000000000003,0.6869749999999999,1.0
chimera,16,mdkp,10,unbalanced,10,std,20,1.0,1.78540500727426,0.042803154089389256,0.02786506184274069,0.0017435595774162695,0.05939660293930204,0.0017435595774162695,0.01899970723458654,0.0
chimera,16,mdkp,15,projected_full,15,mean,20,1.0,1.6384,0.15660000000000002,0.0911064292747368,5e-05,0.45675282705032105,5e-05,0.59717,1.0
chimera,16,mdkp,15,projected_full,15,std,20,1.0,7.141620029097039,0.053280765760262874,0.046728579741717145,0.00021794494717703366,0.03198420314634142,0.00021794494717703366,0.02765754448006304,0.0
chimera,16,mdkp,15,projected_topology,15,mean,20,1.0,9.830400000000001,0.11495,0.053500212725775764,0.00030000000000000003,0.40046403178115375,0.00030000000000000003,0.0,0.0
chimera,16,mdkp,15,projected_topology,15,std,20,1.0,18.244450264121415,0.0433537483961883,0.04090699183087935,0.0005567764362830022,0.03748951237302366,0.0005567764362830022,0.0,0.0
chimera,16,mdkp,15,projected_up_support,15,mean,20,1.0,3.2768,0.15385000000000001,0.08184495004186157,0.0001,0.44803904662219224,0.0001,0.59694,1.0
chimera,16,mdkp,15,projected_up_support,15,std,20,1.0,9.8304,0.04832419166421721,0.04830038084423319,0.0003,0.033901372682950584,0.0003,0.023127654442247264,0.0
chimera,16,mdkp,15,unbalanced,15,mean,20,1.0,1.6384,0.1487,0.0734089560536705,5e-05,0.43770321359051056,5e-05,0.7115533333333331,1.0
chimera,16,mdkp,15,unbalanced,15,std,20,1.0,7.141620029097039,0.047255793295637304,0.040752410526187055,0.00021794494717703366,0.03175891289911728,0.00021794494717703366,0.026672075284836765,0.0
chimera,16,mdkp,20,projected_full,20,mean,20,1.0,0.0,0.12630000000000002,0.13920115413452838,0.0,0.43809723789097654,0.0,0.7321975000000001,1.0
chimera,16,mdkp,20,projected_full,20,std,20,1.0,0.0,0.046825313666861865,0.03665802489244954,0.0,0.02772740810304142,0.0,0.027024935129431847,0.0
chimera,16,mdkp,20,projected_topology,20,mean,20,1.0,0.0,0.12109999999999999,0.1165743998193666,0.0,0.40121034158628854,0.0,0.0,0.0
chimera,16,mdkp,20,projected_topology,20,std,20,1.0,0.0,0.057856633154721344,0.042426995950202946,0.0,0.028541881794758223,0.0,0.0,0.0
