hardware_family,hardware_size,family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_fea,sqa_gap,optimum_probability,cop,true_optimum_objective,best_feasible_objective,best_feasible_gap,objective_gap,num_feasible_reads,feasible_read_fraction,sqa_num_reads,sqa_num_sweeps,sqa_num_sweeps_per_beta,sqa_chain_strength_fraction,sqa_schedule_id,sqa_schedule_kind,sqa_schedule_anchor_size,sqa_beta_scale,sqa_total_schedule_time,sqa_anneal_schedule,mean_sqa_energy_gap,sqa_optimum_rate,physical_qubits,mean_chain_length,max_chain_length,mean_chain_break_fraction,broken_read_rate,effective_chain_strength,embedded_chain_to_problem_ratio,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_lambda0,up_lambda1,up_lambda2
chimera,16,mdkp,5,0,unbalanced,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.256,0.068,0.0,0.008,0.256,-65757.0,-65757.0,0.0,0.0,68,0.068,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.32948426872916237,0.008,8,1.6,2,0.286,0.854,0.04267946072591841,0.17071784290367364,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,38002.151855172815,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,0,projected_full,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.736,0.129,0.0,0.023,0.736,-65757.0,-65757.0,0.0,0.0,129,0.129,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3357799735530853,0.023,8,1.6,2,0.15680000000000002,0.577,0.4677554664526516,1.8710218658106064,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,41017.99969910271,,,,,,,,
chimera,16,mdkp,5,0,projected_up_support,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.48,0.119,0.0,0.015,0.48,-65757.0,-65757.0,0.0,0.0,119,0.119,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.30344227658671485,0.015,8,1.6,2,0.1598,0.594,0.4648675170418055,1.859470068167222,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,41017.99970096046,,,,,,,,
chimera,16,mdkp,5,0,projected_topology,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-65757.0,cplex_cache,min,1e-09,10,1.056,0.211,0.0,0.033,1.056,-65757.0,-65757.0,0.0,0.0,211,0.211,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3276431312846732,0.033,5,1.0,1,0.0,0.0,0.0,,16,4,projected_chimera,projected_chimera,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,40996.183120852824,,,,,,,,
pegasus,16,mdkp,5,0,unbalanced,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.8,0.159,0.0,0.025,0.8,-65757.0,-65757.0,0.0,0.0,159,0.159,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.34279928874779386,0.025,6,1.2,2,0.09119999999999999,0.456,0.04267946072591841,0.17071784290367364,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,38002.151855172815,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,0,projected_full,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-65757.0,cplex_cache,min,1e-09,10,1.248,0.208,0.0,0.039,1.248,-65757.0,-65757.0,0.0,0.0,208,0.208,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.24370087536746599,0.039,6,1.2,2,0.05280000000000001,0.264,0.4677554664526516,2.810030109957692,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,41017.99969910271,,,,,,,,
pegasus,16,mdkp,5,0,projected_up_support,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.672,0.173,0.0,0.021,0.672,-65757.0,-65757.0,0.0,0.0,173,0.173,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.33625510846951745,0.021,6,1.2,2,0.0526,0.263,0.4648675170418055,1.859470068167222,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,41017.99970096046,,,,,,,,
pegasus,16,mdkp,5,0,projected_topology,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-65757.0,cplex_cache,min,1e-09,10,1.088,0.195,0.0,0.034,1.088,-65757.0,-65757.0,0.0,0.0,195,0.195,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3348199255768032,0.034,5,1.0,1,0.0,0.0,0.0,,16,7,projected_pegasus,projected_pegasus,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,41018.00006866944,,,,,,,,
zephyr,16,mdkp,5,0,unbalanced,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.992,0.169,0.0,0.031,0.992,-65757.0,-65757.0,0.0,0.0,169,0.169,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.26983119577882814,0.031,6,1.2,2,0.0964,0.482,0.04267946072591841,0.17071784290367364,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,38002.151855172815,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,0,projected_full,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.64,0.197,0.0,0.02,0.64,-65757.0,-65757.0,0.0,0.0,197,0.197,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2888364011196739,0.02,6,1.2,2,0.0486,0.243,0.4677554664526516,2.810030109957692,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,41017.99969910271,,,,,,,,
