hardware_family,hardware_size,family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,optimum_probability_median,optimum_probability_q25,optimum_probability_q75,optimum_probability_mean,optimum_probability_ci95_low,optimum_probability_ci95_high,sqa_energy_gap_median,sqa_energy_gap_q25,sqa_energy_gap_q75,sqa_energy_gap_mean,sqa_energy_gap_ci95_low,sqa_energy_gap_ci95_high,sqa_optimum_rate_median,sqa_optimum_rate_q25,sqa_optimum_rate_q75,sqa_optimum_rate_mean,sqa_optimum_rate_ci95_low,sqa_optimum_rate_ci95_high,mean_chain_break_fraction_median,mean_chain_break_fraction_q25,mean_chain_break_fraction_q75,mean_chain_break_fraction_mean,mean_chain_break_fraction_ci95_low,mean_chain_break_fraction_ci95_high,broken_read_rate_median,broken_read_rate_q25,broken_read_rate_q75,broken_read_rate_mean,broken_read_rate_ci95_low,broken_read_rate_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
chimera,16,mdkp,5,projected_topology_unb_pen,5,20,1.3279999999999998,1.1119999999999999,1.6320000000000001,1.3936,1.1472000000000002,1.656,0.251,0.16999999999999998,0.37575000000000003,0.26305000000000006,0.20959750000000002,0.31614999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.041499999999999995,0.034749999999999996,0.051000000000000004,0.04355,0.03595,0.05179999999999999,0.33389503989762964,0.3146848386211354,0.36008448643138424,0.33619483072427003,0.32087409821185364,0.35153667944998235,0.041499999999999995,0.034749999999999996,0.051000000000000004,0.04355,0.03574875,0.051550000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
chimera,16,mdkp,5,unbalanced,5,20,0.704,0.27999999999999997,1.272,1.0912,0.6815599999999999,1.5712399999999993,0.14750000000000002,0.0675,0.227,0.15560000000000002,0.1125,0.19945124999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.008749999999999999,0.03975,0.0341,0.02109875,0.04875,0.2866444843475047,0.24778305036144624,0.3354479940951475,0.2884971931757748,0.26065722703918076,0.31618330422948926,0.022,0.008749999999999999,0.03975,0.0341,0.021150000000000006,0.04895,0.2752,0.26545,0.27935000000000004,0.27365000000000006,0.27026000000000006,0.27681999999999995,0.843,0.8262499999999999,0.848,0.8378,0.8320500000000001,0.84350125,1.0,1.0
chimera,16,mdkp,10,projected_topology_unb_pen,10,20,3.072,3.072,4.352,3.6352,2.8672000000000004,4.403200000000001,0.1705,0.137,0.19275,0.17650000000000002,0.15044875000000002,0.20560124999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.00425,0.00355,0.0028000000000000004,0.004300000000000001,0.3653995516895483,0.3504087691717089,0.38589855150066743,0.36965218414946094,0.35402488883078176,0.38519103849914815,0.003,0.003,0.00425,0.00355,0.0028000000000000004,0.004300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
chimera,16,mdkp,10,unbalanced,10,20,1.024,0.0,3.3280000000000003,1.6384000000000003,0.8704000000000001,2.4576000000000002,0.0945,0.074,0.1195,0.10370000000000001,0.08625000000000001,0.12384999999999999,0.0,0.0,0.02101235545168145,0.017354287355608115,0.006355635874155147,0.03002640901432131,0.001,0.0,0.0032500000000000003,0.0016000000000000003,0.0009,0.0024000000000000007,0.40349544012158844,0.3642330627656385,0.4256381904347277,0.4024719909627258,0.3771168793871779,0.42937805548528457,0.001,0.0,0.0032500000000000003,0.0016000000000000003,0.0008500000000000001,0.0024000000000000002,0.6890499999999999,0.6733750000000001,0.699925,0.6869749999999999,0.67890975,0.6952204999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6
chimera,16,mdkp,15,projected_topology_unb_pen,15,20,0.0,0.0,65.536,26.2144,13.1072,40.96,0.3,0.26,0.32425000000000004,0.2927,0.26220000000000004,0.3233025,0.00646418507695139,0.0,0.04146668468348477,0.020238197709048934,0.010281002394673985,0.030583391385458167,0.0,0.0,0.002,0.0008,0.0004,0.00125,0.3869819144230151,0.3621792135609164,0.3980908197921074,0.38522254646875803,0.3738326749162547,0.3976201988567112,0.0,0.0,0.002,0.0008,0.0004,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45
chimera,16,mdkp,15,unbalanced,15,20,0.0,0.0,0.0,1.6384,0.0,4.9152000000000005,0.148,0.11725,0.16825,0.1487,0.12875000000000003,0.17065125,0.07870142922422822,0.04063662563194525,0.10018852225606603,0.0734089560536705,0.055940708067530445,0.09128803543364783,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.4393537751666916,0.4201382358588117,0.4554062223240255,0.43770321359051056,0.42373589510717846,0.45137298234680645,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.7088666666666665,0.6929,0.73025,0.7115533333333331,0.70040625,0.7230704166666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
chimera,16,mdkp,20,projected_topology_unb_pen,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.326,0.494,0.43325,0.38144500000000003,0.4897537499999999,0.07347875073527665,0.05021580257323083,0.10256710985202236,0.07542229838003786,0.060764472270891774,0.08991499668855628,0.0,0.0,0.0,0.0,0.0,0.0,0.40210134268634423,0.3926808806670965,0.42586334550159244,0.4077183304779067,0.39854420512801714,0.4169131030850772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimera,16,mdkp,20,unbalanced,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.1305,0.09975,0.155,0.13774999999999998,0.11274999999999999,0.16350125000000001,0.12991089564615457,0.07600027421666236,0.16802165238984107,0.1249373312874609,0.10406672465184458,0.14666235952817108,0.0,0.0,0.0,0.0,0.0,0.0,0.42973674792217,0.4200890156059663,0.4450266033424064,0.435457274569879,0.42383625160152794,0.44768075170089966,0.0,0.0,0.0,0.0,0.0,0.0,0.767775,0.7481375000000001,0.7765875,0.762465,0.7521097499999999,0.7724028125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
chimera,16,mis,8,projected_topology_unb_pen,8,20,12.544,9.664,16.896,12.5568,10.6752,14.336000000000002,0.3015,0.23625,0.35275,0.29765,0.26664625,0.32855,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.03775,0.066,0.04905,0.0417,0.05585124999999999,0.2674162622795597,0.2556751666183715,0.27873695247520086,0.27188574080531275,0.25907636189928673,0.28522597073753697,0.049,0.03775,0.066,0.04905,0.041650000000000006,0.056451249999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
chimera,16,mis,8,unbalanced,8,20,12.288,9.92,16.448,12.608,10.969600000000003,14.195519999999998,0.298,0.23424999999999999,0.3345,0.28690000000000004,0.25784875,0.31545,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.03875,0.06425,0.04925,0.04294875,0.055600000000000004,0.25874675519427465,0.2400595238095238,0.2786569546362122,0.26356588642834067,0.2503051347701215,0.2769141692552693,0.048,0.03875,0.06425,0.04925,0.04295,0.0556,0.0,0.0,0.0,0.0054624999999999995,0.0012875,0.010575,0.0,0.0,0.0,0.043699999999999996,0.0103,0.08650499999999992,1.0,1.0
