hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
chimera,16,mdkp,5,projected_topology_unb_pen,5,mean,20,1.3936,0.26305000000000006,0.0,0.04355,0.33619483072427003,0.04355,0.0,0.0
chimera,16,mdkp,5,projected_topology_unb_pen,5,std,20,0.5821428003505669,0.12247141503224335,0.0,0.018191962510955215,0.0352082105252612,0.018191962510955215,0.0,0.0
chimera,16,mdkp,5,unbalanced,5,mean,20,1.0912,0.15560000000000002,0.0,0.0341,0.2884971931757748,0.0341,0.27365000000000006,0.8378
chimera,16,mdkp,5,unbalanced,5,std,20,1.0098978958290783,0.0981149326045735,0.0,0.0315593092446587,0.06316947778449043,0.0315593092446587,0.007477399280498531,0.01328382475042487
chimera,16,mdkp,10,projected_topology_unb_pen,10,mean,20,3.6352,0.17650000000000002,0.0,0.00355,0.36965218414946094,0.00355,0.0,0.0
chimera,16,mdkp,10,projected_topology_unb_pen,10,std,20,1.7279525919422674,0.06408861053260555,0.0,0.0016874537030686205,0.03536719426243276,0.0016874537030686205,0.0,0.0
chimera,16,mdkp,10,unbalanced,10,mean,20,1.6384000000000003,0.10370000000000001,0.017354287355608115,0.0016000000000000003,0.4024719909627258,0.0016000000000000003,0.6869749999999999,1.0
chimera,16,mdkp,10,unbalanced,10,std,20,1.78540500727426,0.042803154089389256,0.02786506184274069,0.0017435595774162695,0.05939660293930204,0.0017435595774162695,0.01899970723458654,0.0
chimera,16,mdkp,15,projected_topology_unb_pen,15,mean,20,26.2144,0.2927,0.020238197709048934,0.0008,0.38522254646875803,0.0008,0.0,0.0
chimera,16,mdkp,15,projected_topology_unb_pen,15,std,20,32.105951956607676,0.07072983811659687,0.023579481719003433,0.0009797958971132714,0.026584495725589737,0.0009797958971132714,0.0,0.0
chimera,16,mdkp,15,unbalanced,15,mean,20,1.6384,0.1487,0.0734089560536705,5e-05,0.43770321359051056,5e-05,0.7115533333333331,1.0
chimera,16,mdkp,15,unbalanced,15,std,20,7.141620029097039,0.047255793295637304,0.040752410526187055,0.00021794494717703366,0.03175891289911728,0.00021794494717703366,0.026672075284836765,0.0
chimera,16,mdkp,20,projected_topology_unb_pen,20,mean,20,0.0,0.43325,0.07542229838003786,0.0,0.4077183304779067,0.0,0.0,0.0
chimera,16,mdkp,20,projected_topology_unb_pen,20,std,20,0.0,0.12446560769947657,0.03343667335078143,0.0,0.02069016240590315,0.0,0.0,0.0
chimera,16,mdkp,20,unbalanced,20,mean,20,0.0,0.13774999999999998,0.1249373312874609,0.0,0.435457274569879,0.0,0.762465,1.0
chimera,16,mdkp,20,unbalanced,20,std,20,0.0,0.05773895998370598,0.04912034468899316,0.0,0.027178440259472438,0.0,0.02392438661700651,0.0
chimera,16,mis,8,projected_topology_unb_pen,8,mean,20,12.5568,0.29765,0.0,0.04905,0.27188574080531275,0.04905,0.0,0.0
chimera,16,mis,8,projected_topology_unb_pen,8,std,20,4.232505376251754,0.07111137391444494,0.0,0.016533224125983414,0.030031469239377155,0.016533224125983414,0.0,0.0
chimera,16,mis,8,unbalanced,8,mean,20,12.608,0.28690000000000004,0.0,0.04925,0.26356588642834067,0.04925,0.0054624999999999995,0.043699999999999996
chimera,16,mis,8,unbalanced,8,std,20,3.6768543076929223,0.06630000000000001,0.0,0.014362712139425478,0.03003761761004921,0.014362712139425478,0.011018528429422868,0.08814822743538295
chimera,16,mis,12,projected_topology_unb_pen,12,mean,20,31.948800000000006,0.17784999999999998,0.008333333333333333,0.007800000000000001,0.3247170265853745,0.007800000000000001,0.0,0.0
chimera,16,mis,12,projected_topology_unb_pen,12,std,20,25.56639073784174,0.05778777985006865,0.03632415786283895,0.0062417946137308935,0.03728215758090111,0.0062417946137308935,0.0,0.0
chimera,16,mis,12,unbalanced,12,mean,20,37.06880000000001,0.15604999999999997,0.0,0.009050000000000002,0.2964127737829402,0.009050000000000002,0.011425,0.12935000000000002
chimera,16,mis,12,unbalanced,12,std,20,23.36785051646813,0.05017516816115319,0.0,0.005705041629997102,0.02948523854182092,0.005705041629997102,0.009510699384260747,0.10621123998899554
chimera,16,mis,16,projected_topology_unb_pen,16,mean,20,150.73280000000003,0.13165000000000002,0.024503968253968254,0.0023000000000000004,0.3660723181551954,0.0023000000000000004,0.0,0.0
chimera,16,mis,16,projected_topology_unb_pen,16,std,20,175.97361792086903,0.031518684934495604,0.04935363820741476,0.0026851443164195104,0.05273052125793785,0.0026851443164195104,0.0,0.0
chimera,16,mis,16,unbalanced,16,mean,20,327.68,0.11584999999999998,0.005,0.005,0.29656778711227394,0.005,0.012990625,0.18725000000000003
chimera,16,mis,16,unbalanced,16,std,20,300.3236807446259,0.025973592358393558,0.02179449471770337,0.00458257569495584,0.03236676974783394,0.00458257569495584,0.007596624327415106,0.09915890025610409
chimera,16,mis,20,projected_topology_unb_pen,20,mean,20,157.28640000000001,0.08889999999999999,0.10891414141414142,0.00015000000000000001,0.42750394195493735,0.00015000000000000001,0.0,0.0
