hardware_family,hardware_size,family,size,method,projection_summary_method,projection_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,projection_target_lambda1_shape,projection_target_lambda2_shape,sqa_chain_strength_fraction,penalty_config_source
chimera,16,mdkp,5,projected_topology_unb_pen,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09141027741879015,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
pegasus,16,mdkp,5,projected_topology_unb_pen,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09309059908302675,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
zephyr,16,mdkp,5,projected_topology_unb_pen,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09623519688008812,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
chimera,16,mdkp,10,projected_topology_unb_pen,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09141027741879015,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
pegasus,16,mdkp,10,projected_topology_unb_pen,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09309059908302675,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
zephyr,16,mdkp,10,projected_topology_unb_pen,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09623519688008812,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
chimera,16,mdkp,15,projected_topology_unb_pen,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09141027741879015,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
pegasus,16,mdkp,15,projected_topology_unb_pen,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09309059908302675,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
zephyr,16,mdkp,15,projected_topology_unb_pen,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09623519688008812,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
chimera,16,mdkp,20,projected_topology_unb_pen,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09141027741879015,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
pegasus,16,mdkp,20,projected_topology_unb_pen,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.0,0.09309059908302675,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,1.0,/Users/llee/Projects/blp-qubo/experiments/tunings/compare_unb_pen_projected/projected_penalty_tuning_summary.csv
