family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
mdkp,5,projected_chimera_unb_pen,5,20,1.152,0.9359999999999999,1.616,1.2816,1.0560000000000003,1.5264399999999996,0.256,0.17525000000000002,0.366,0.2578,0.20704750000000002,0.3081025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mdkp,5,projected_pegasus_unb_pen,5,20,1.296,0.928,1.536,1.2992000000000001,1.0560000000000003,1.5632399999999997,0.263,0.18,0.387,0.26735,0.20948625,0.3225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mdkp,5,projected_zephyr_unb_pen,5,20,1.328,1.024,1.512,1.3216,1.0816000000000003,1.5760399999999997,0.261,0.18,0.366,0.2673,0.21315,0.32225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mdkp,5,unbalanced,5,20,1.3439999999999999,0.968,1.632,1.3679999999999999,1.1280000000000001,1.6032,0.2575,0.18675,0.38475000000000004,0.26739999999999997,0.21539125000000003,0.3178012499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mdkp,10,projected_chimera_unb_pen,10,20,3.072,2.048,4.096,3.430400000000001,2.7648,4.096000000000001,0.168,0.14075,0.18925,0.17569999999999997,0.15009875,0.20645000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mdkp,10,projected_pegasus_unb_pen,10,20,3.072,1.792,4.096,2.9696000000000002,2.1504000000000003,3.7888000000000006,0.1605,0.13899999999999998,0.19725,0.1745,0.14855000000000002,0.20415374999999994,0.0,0.0,0.0,0.0066528806333891,0.0,0.01768833997408713,1.0,1.0
mdkp,10,projected_zephyr_unb_pen,10,20,2.048,1.024,3.3280000000000003,2.6624000000000008,1.8944000000000003,3.585279999999982,0.167,0.1295,0.20450000000000002,0.17519999999999997,0.14705000000000001,0.20610249999999997,0.0,0.0,0.0,0.002121142193571439,0.0,0.006363426580714318,1.0,1.0
mdkp,10,unbalanced,10,20,2.048,1.024,3.072,2.2016000000000004,1.5872000000000002,2.8160000000000003,0.167,0.14024999999999999,0.1965,0.17980000000000002,0.15560000000000002,0.20825,0.0,0.0,0.0,0.005870250156535792,0.0,0.015841975428501288,0.85,0.85
mdkp,15,projected_chimera_unb_pen,15,20,0.0,0.0,40.96,24.576000000000004,11.4688,39.321600000000004,0.288,0.25275000000000003,0.33175,0.28995,0.2576975,0.32180374999999994,0.0018618247943417974,0.0,0.04784051242320589,0.024690014302201913,0.012248860072307842,0.0387363350054163,0.45,0.45
mdkp,15,projected_pegasus_unb_pen,15,20,0.0,0.0,0.0,4.9152000000000005,0.0,13.1072,0.264,0.23375,0.2895,0.2641,0.23379750000000002,0.2967,0.03294671665224424,0.012174132599614676,0.06669812750197422,0.041250278654700226,0.026816229270523326,0.05672106045811411,0.0,0.0
mdkp,15,projected_zephyr_unb_pen,15,20,0.0,0.0,8.192,9.830400000000001,3.2768,18.022400000000005,0.2645,0.2415,0.299,0.26295,0.23410000000000003,0.2926,0.015406704516578974,0.002652643988977726,0.0500121851396528,0.02628508536126718,0.01491136494434363,0.03891737293720822,0.25,0.25
mdkp,15,unbalanced,15,20,0.0,0.0,0.0,6.5536,1.6384,13.1072,0.2395,0.19775,0.25875000000000004,0.23085,0.20345,0.25945125,0.04623495893548017,0.012993472894103662,0.07568102348043586,0.049327712089441665,0.032379456413368396,0.06636044793596096,0.2,0.2
mdkp,20,projected_chimera_unb_pen,20,20,0.0,0.0,0.0,52.4288,0.0,157.28640000000001,0.4345,0.3255,0.4875,0.43255,0.38025,0.49110125,0.0692164892770723,0.051493250302975635,0.0868729050267595,0.06617795463363393,0.05433992184090034,0.07672451346341047,0.0,0.0
mdkp,20,projected_pegasus_unb_pen,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.27525,0.38425,0.34085000000000004,0.30164874999999997,0.3874062499999999,0.07424217440507482,0.03998791059991909,0.09715087563378125,0.07452486076014772,0.057122000791182556,0.0920008513415698,0.0,0.0
