family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap
mdkp,5,projected_chimera_unb_pen,5,mean,20,1.2816,0.2578,0.0
mdkp,5,projected_chimera_unb_pen,5,std,20,0.533400262467127,0.11687925393327936,0.0
mdkp,5,projected_pegasus_unb_pen,5,mean,20,1.2992000000000001,0.26735,0.0
mdkp,5,projected_pegasus_unb_pen,5,std,20,0.5783419057962167,0.12646551901605432,0.0
mdkp,5,projected_zephyr_unb_pen,5,mean,20,1.3216,0.2673,0.0
mdkp,5,projected_zephyr_unb_pen,5,std,20,0.5676821645956476,0.12281005659146974,0.0
mdkp,5,unbalanced,5,mean,20,1.3679999999999999,0.26739999999999997,0.0
mdkp,5,unbalanced,5,std,20,0.5350678461653251,0.11690910999575696,0.0
mdkp,10,projected_chimera_unb_pen,10,mean,20,3.430400000000001,0.17569999999999997,0.0
mdkp,10,projected_chimera_unb_pen,10,std,20,1.5283007033957683,0.06465609020038252,0.0
mdkp,10,projected_pegasus_unb_pen,10,mean,20,2.9696000000000002,0.1745,0.0066528806333891
mdkp,10,projected_pegasus_unb_pen,10,std,20,1.8573677718750263,0.06464325177464389,0.021046722274603597
mdkp,10,projected_zephyr_unb_pen,10,mean,20,2.6624000000000008,0.17519999999999997,0.002121142193571439
mdkp,10,projected_zephyr_unb_pen,10,std,20,1.9803217516353244,0.06761922803463524,0.009245844466658094
mdkp,10,unbalanced,10,mean,20,2.2016000000000004,0.17980000000000002,0.005870250156535792
mdkp,10,unbalanced,10,std,20,1.384294997462607,0.059422722926503455,0.019503245629635117
mdkp,15,projected_chimera_unb_pen,15,mean,20,24.576000000000004,0.28995,0.024690014302201913
mdkp,15,projected_chimera_unb_pen,15,std,20,30.86982132763324,0.07136208727328539,0.030617701240579512
mdkp,15,projected_pegasus_unb_pen,15,mean,20,4.9152000000000005,0.2641,0.041250278654700226
mdkp,15,projected_pegasus_unb_pen,15,std,20,15.62933987601524,0.07173834400095949,0.03499370263471318
mdkp,15,projected_zephyr_unb_pen,15,mean,20,9.830400000000001,0.26295,0.02628508536126718
mdkp,15,projected_zephyr_unb_pen,15,std,20,18.244450264121415,0.06666968951480125,0.027854218739529747
mdkp,15,unbalanced,15,mean,20,6.5536,0.23085,0.049327712089441665
mdkp,15,unbalanced,15,std,20,13.1072,0.0645788471560154,0.03974313754262029
mdkp,20,projected_chimera_unb_pen,20,mean,20,52.4288,0.43255,0.06617795463363393
mdkp,20,projected_chimera_unb_pen,20,std,20,228.53184093110528,0.1263497032050333,0.02547900124519628
mdkp,20,projected_pegasus_unb_pen,20,mean,20,0.0,0.34085000000000004,0.07452486076014772
mdkp,20,projected_pegasus_unb_pen,20,std,20,0.0,0.09873716372268347,0.039811337444691564
mdkp,20,projected_zephyr_unb_pen,20,mean,20,0.0,0.32194999999999996,0.07744100221570052
mdkp,20,projected_zephyr_unb_pen,20,std,20,0.0,0.09713056933839109,0.030452317391990332
mdkp,20,unbalanced,20,mean,20,0.0,0.2533,0.09211538183186224
mdkp,20,unbalanced,20,std,20,0.0,0.0728801070251684,0.0374428975827494
mis,8,projected_chimera_unb_pen,8,mean,20,12.8256,0.29785,0.0
mis,8,projected_chimera_unb_pen,8,std,20,3.778840965163789,0.06990370161872689,0.0
mis,8,projected_pegasus_unb_pen,8,mean,20,12.262400000000003,0.3043,0.0
mis,8,projected_pegasus_unb_pen,8,std,20,3.9418181388795706,0.06823642722182925,0.0
mis,8,projected_zephyr_unb_pen,8,mean,20,12.659200000000002,0.2989,0.0
mis,8,projected_zephyr_unb_pen,8,std,20,4.170109562109849,0.07458009117720359,0.0
mis,8,unbalanced,8,mean,20,13.0816,0.3003,0.0
mis,8,unbalanced,8,std,20,4.257534760868078,0.06823056499839351,0.0
mis,12,projected_chimera_unb_pen,12,mean,20,29.286400000000004,0.17955000000000002,0.00625
mis,12,projected_chimera_unb_pen,12,std,20,20.816184718626992,0.055933420242284496,0.027243118397129208
mis,12,projected_pegasus_unb_pen,12,mean,20,31.334400000000006,0.18030000000000002,0.0
mis,12,projected_pegasus_unb_pen,12,std,20,22.106070637723025,0.06208389485204679,0.0
mis,12,projected_zephyr_unb_pen,12,mean,20,32.76800000000001,0.1785,0.0
mis,12,projected_zephyr_unb_pen,12,std,20,21.24398998305168,0.05907918415144203,0.0
mis,12,unbalanced,12,mean,20,39.321600000000004,0.16729999999999998,0.0
mis,12,unbalanced,12,std,20,25.229498113121473,0.053272037693334016,0.0
mis,16,projected_chimera_unb_pen,16,mean,20,134.3488,0.13280000000000003,0.03561507936507936
mis,16,projected_chimera_unb_pen,16,std,20,131.84794321702557,0.03334906295535153,0.05479379606810921
mis,16,projected_pegasus_unb_pen,16,mean,20,121.24160000000002,0.13555,0.049702380952380956
mis,16,projected_pegasus_unb_pen,16,std,20,128.2146143208332,0.02739794700337965,0.06136848952065598
mis,16,projected_zephyr_unb_pen,16,mean,20,235.92960000000008,0.1396,0.00625
mis,16,projected_zephyr_unb_pen,16,std,20,154.25342401334242,0.026446927987953537,0.027243118397129205
mis,16,unbalanced,16,mean,20,337.51040000000006,0.12969999999999998,0.010555555555555556
mis,16,unbalanced,16,std,20,281.32811776827424,0.03352625836564528,0.031715362169315746
mis,20,projected_chimera_unb_pen,20,mean,20,157.28640000000001,0.0858,0.109229797979798
mis,20,projected_chimera_unb_pen,20,std,20,374.41652279438745,0.029934261307070865,0.06324436720704904
mis,20,projected_pegasus_unb_pen,20,mean,20,471.85920000000004,0.10745,0.08006313131313132
mis,20,projected_pegasus_unb_pen,20,std,20,1171.1706774209129,0.030295998085555793,0.04901875354298877
mis,20,projected_zephyr_unb_pen,20,mean,20,576.7167999999999,0.10625,0.09051767676767677
mis,20,projected_zephyr_unb_pen,20,std,20,1073.1907705973622,0.03950047468069213,0.07268190376942113
mis,20,unbalanced,20,mean,20,1887.4368000000002,0.13635000000000003,0.033989898989898994
mis,20,unbalanced,20,std,20,1950.4641068486649,0.04421682372129414,0.0467645405497728
