family,size,instance_index,method,projection_regime,projection_topology_family,instance_source,problem_seed,instance_manifest,comparison_family,comparison_mode,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,qubo_normalization_scale,normalization_regime,per_constraint_standardization,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projection_target_lambda1_shape,projection_target_lambda2_shape,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,5,0,unbalanced,unbalanced,,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-65757.0,cplex_cache,min,1e-09,10,1.536,1000,0.23,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",38002.151855172815,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,0,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-65757.0,cplex_cache,min,1e-09,10,1.056,1000,0.23,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",37513.49296131374,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,5,0,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-65757.0,cplex_cache,min,1e-09,10,1.472,1000,0.222,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",37390.01788786872,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,5,0,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-65757.0,cplex_cache,min,1e-09,10,1.376,1000,0.236,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",37559.58182335717,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,5,1,unbalanced,unbalanced,,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-42940.0,cplex_cache,min,1e-09,10,1.312,1000,0.227,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",19016.089656271004,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,1,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-42940.0,cplex_cache,min,1e-09,10,1.248,1000,0.231,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",18511.068127098515,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,5,1,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-42940.0,cplex_cache,min,1e-09,10,1.152,1000,0.241,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",18588.582434688014,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,5,1,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-42940.0,cplex_cache,min,1e-09,10,1.504,1000,0.247,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",18500.92702215992,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,5,2,unbalanced,unbalanced,,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-91144.0,cplex_cache,min,1e-09,10,2.112,1000,0.382,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",39825.873621071536,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,2,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-91144.0,cplex_cache,min,1e-09,10,1.504,1000,0.41,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",47414.48392925226,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,5,2,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-91144.0,cplex_cache,min,1e-09,10,1.952,1000,0.397,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",46233.477963854166,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,5,2,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-91144.0,cplex_cache,min,1e-09,10,1.344,1000,0.373,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",47163.7493899035,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,5,3,unbalanced,unbalanced,,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,5,32,-41118.0,cplex_cache,min,1e-09,10,0.448,1000,0.082,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",33141.0722778645,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
