hardware_family,hardware_size,family,size,method,n,inst,sqa_gap_median,sqa_gap_mean,optimum_probability_median,optimum_probability_mean,sqa_energy_gap_median,sqa_energy_gap_mean,sqa_optimum_rate_median,sqa_optimum_rate_mean,sqa_fea_median,sqa_fea_mean,mean_chain_break_fraction_median,mean_chain_break_fraction_mean,broken_read_rate_median,broken_read_rate_mean,sqa_gap_zero_rate
zephyr,12,mdkp,10,projected_full,10,1,0.0,0.0,0.004,0.004,0.2777640968540451,0.2777640968540451,0.004,0.004,0.6628,0.6628,0.04828,0.04828,0.3888,0.3888,1.0
zephyr,12,mdkp,10,projected_topology,10,1,0.0,0.0,0.004,0.004,0.18652641734755523,0.18652641734755523,0.004,0.004,0.4716,0.4716,0.0,0.0,0.0,0.0,1.0
zephyr,12,mdkp,10,unbalanced,10,1,0.0,0.0,0.0004,0.0004,0.2705473369820194,0.2705473369820194,0.0004,0.0004,0.7132,0.7132,0.16104000000000002,0.16104000000000002,0.8444,0.8444,1.0
zephyr,12,mdkp,15,projected_full,15,1,0.0024906600249066002,0.0024906600249066002,0.0,0.0,0.25804308342283766,0.25804308342283766,0.0,0.0,0.698,0.698,0.1514933333333333,0.1514933333333333,0.9212,0.9212,0.0
zephyr,12,mdkp,15,projected_topology,15,1,0.0,0.0,0.0004,0.0004,0.17763914168023756,0.17763914168023756,0.0004,0.0004,0.5408,0.5408,0.0,0.0,0.0,0.0,1.0
zephyr,12,mdkp,15,unbalanced,15,1,0.0,0.0,0.0008,0.0008,0.15811770788221005,0.15811770788221005,0.0008,0.0008,0.8132,0.8132,0.29986666666666667,0.29986666666666667,0.9972,0.9972,1.0
zephyr,12,mdkp,20,projected_full,20,2,0.02896259017866146,0.02896259017866146,0.0,0.0,0.22881547417820552,0.22881547417820552,0.0,0.0,0.195,0.195,0.24165,0.24165,0.994,0.994,0.0
zephyr,12,mdkp,20,projected_topology,20,2,0.07899054900127418,0.07899054900127418,0.0,0.0,0.1621736562628185,0.1621736562628185,0.0,0.0,0.059,0.059,0.0,0.0,0.0,0.0,0.0
zephyr,12,mdkp,20,unbalanced,20,2,0.0764238374171548,0.0764238374171548,0.0,0.0,0.18768069351197922,0.18768069351197922,0.0,0.0,0.14880000000000002,0.14880000000000002,0.37215,0.37215,0.9994000000000001,0.9994000000000001,0.0
zephyr,12,mdkp,27,projected_full,27,1,0.06181229773462783,0.06181229773462783,0.0,0.0,0.23861920172599785,0.23861920172599785,0.0,0.0,0.1956,0.1956,0.5408740740740741,0.5408740740740741,1.0,1.0,0.0
zephyr,12,mdkp,27,projected_topology,27,1,0.08155339805825243,0.08155339805825243,0.0,0.0,0.15945446139620897,0.15945446139620897,0.0,0.0,0.0084,0.0084,0.0,0.0,0.0,0.0,0.0
zephyr,12,mdkp,27,unbalanced,27,1,0.07864077669902912,0.07864077669902912,0.0,0.0,0.18576051779935274,0.18576051779935274,0.0,0.0,0.0084,0.0084,0.6826518518518518,0.6826518518518518,1.0,1.0,0.0
zephyr,12,mdkp,28,projected_full,28,2,0.04559801997017686,0.04559801997017686,0.0,0.0,0.28108162057960023,0.28108162057960023,0.0,0.0,0.481,0.481,0.5298428571428571,0.5298428571428571,1.0,1.0,0.0
zephyr,12,mdkp,28,projected_topology,28,2,0.0512213565752468,0.0512213565752468,0.0,0.0,0.1822561095747079,0.1822561095747079,0.0,0.0,0.3104,0.3104,0.0,0.0,0.0,0.0,0.0
zephyr,12,mdkp,28,unbalanced,28,2,0.04665091356952755,0.04665091356952755,0.0,0.0,0.2160121095667781,0.2160121095667781,0.0,0.0,0.3978,0.3978,0.6497857142857143,0.6497857142857143,1.0,1.0,0.0
zephyr,12,mdkp,29,projected_full,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.6342068965517241,0.6342068965517241,1.0,1.0,nan
zephyr,12,mdkp,29,projected_topology,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
zephyr,12,mdkp,29,unbalanced,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.5690620689655173,0.5690620689655173,1.0,1.0,nan
zephyr,12,mdkp,34,projected_full,34,1,0.07689893283113622,0.07689893283113622,0.0,0.0,0.21059728906558786,0.21059728906558786,0.0,0.0,0.0108,0.0108,0.6907294117647059,0.6907294117647059,1.0,1.0,0.0
zephyr,12,mdkp,34,projected_topology,34,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
zephyr,12,mdkp,34,unbalanced,34,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7291176470588235,0.7291176470588235,1.0,1.0,nan
zephyr,12,mdkp,35,projected_full,35,1,0.11016949152542373,0.11016949152542373,0.0,0.0,0.21927181418706843,0.21927181418706843,0.0,0.0,0.002,0.002,0.7391085714285714,0.7391085714285714,1.0,1.0,0.0
zephyr,12,mdkp,35,projected_topology,35,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
zephyr,12,mdkp,35,unbalanced,35,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.8076228571428571,0.8076228571428571,1.0,1.0,nan
zephyr,12,mdkp,39,projected_full,39,1,0.02194386890186476,0.02194386890186476,0.0,0.0,0.28277997170443964,0.28277997170443964,0.0,0.0,0.3256,0.3256,0.7656,0.7656,1.0,1.0,0.0
zephyr,12,mdkp,39,projected_topology,39,1,0.044170276888302884,0.044170276888302884,0.0,0.0,0.17819190682488856,0.17819190682488856,0.0,0.0,0.1728,0.1728,0.0,0.0,0.0,0.0,0.0
zephyr,12,mdkp,39,unbalanced,39,1,0.028630627236767753,0.028630627236767753,0.0,0.0,0.1630598697466281,0.1630598697466281,0.0,0.0,0.066,0.066,0.839476923076923,0.839476923076923,1.0,1.0,0.0
zephyr,12,mdkp,50,projected_full,50,1,0.04335731994920481,0.04335731994920481,0.0,0.0,0.2835917292101706,0.2835917292101706,0.0,0.0,0.3268,0.3268,0.871776,0.871776,1.0,1.0,0.0
zephyr,12,mdkp,50,projected_topology,50,1,0.05914011005623753,0.05914011005623753,0.0,0.0,0.1594364796413973,0.1594364796413973,0.0,0.0,0.0752,0.0752,0.0,0.0,0.0,0.0,0.0
zephyr,12,mdkp,50,unbalanced,50,1,0.039366269577311486,0.039366269577311486,0.0,0.0,0.2212092200222761,0.2212092200222761,0.0,0.0,0.1432,0.1432,0.9380879999999999,0.9380879999999999,1.0,1.0,0.0
zephyr,12,mis,8,projected_full,8,1,0.0,0.0,0.0068,0.0068,0.0,0.0,0.0068,0.0068,0.0068,0.0068,0.0022,0.0022,0.0176,0.0176,1.0
zephyr,12,mis,8,projected_topology,8,1,0.0,0.0,0.004,0.004,0.0,0.0,0.004,0.004,0.004,0.004,0.0,0.0,0.0,0.0,1.0
zephyr,12,mis,8,unbalanced,8,1,0.0,0.0,0.0044,0.0044,0.0,0.0,0.0044,0.0044,0.0044,0.0044,0.0,0.0,0.0,0.0,1.0
zephyr,12,mis,16,projected_full,16,1,0.0,0.0,0.4604,0.4604,0.006389117889530091,0.006389117889530091,0.4604,0.4604,0.4852,0.4852,0.00045,0.00045,0.0072,0.0072,1.0
zephyr,12,mis,16,projected_topology,16,1,0.0,0.0,0.8784,0.8784,0.008393540161495962,0.008393540161495962,0.8784,0.8784,0.9412,0.9412,0.0,0.0,0.0,0.0,1.0
zephyr,12,mis,16,unbalanced,16,1,0.0,0.0,0.7984,0.7984,0.015969162995594713,0.015969162995594713,0.7984,0.7984,0.908,0.908,0.0001,0.0001,0.0016,0.0016,1.0
zephyr,12,mis,32,projected_full,32,1,0.0,0.0,0.206,0.206,0.062109596819988636,0.062109596819988636,0.206,0.206,0.4696,0.4696,0.0124,0.0124,0.3576,0.3576,1.0
