session_id,device_name,device_slug,hardware_family,hardware_size,family,size,instance_name,instance_index,method,requested_method,resolved_method,num_runs,num_variables,true_optimum_objective,known_optimum_objective,known_optimum_source,sqa_gap,objective_gap,mean_sqa_energy_gap,optimum_probability,sqa_optimum_rate,sqa_fea,feasible_read_fraction,best_feasible_objective,num_feasible_reads,mean_chain_break_fraction,broken_read_rate,physical_qubits,mean_chain_length,max_chain_length,effective_chain_strength,embedded_chain_to_problem_ratio,wall_clock_duration_seconds
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,10,pet2,,projected_full,projected_full,projected_full,1,10,-87061.0,-87061.0,cplex_cache,0.0,0.0,0.3277940468123484,0.0024,0.0024,0.6296,0.6296,-87061.0,1574.0,0.09804,0.6724,17.0,1.7,3.0,,,1.4805400669574738
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,10,pet2,,projected_topology,projected_topology,projected_pegasus,1,10,-87061.0,-87061.0,cplex_cache,0.0,0.0,0.21682624796894767,0.0068,0.0068,0.4692,0.4692,-87061.0,1173.0,0.0,0.0,10.0,1.0,1.0,,,1.728814773261547
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,10,pet2,,unbalanced,unbalanced,unbalanced,1,10,-87061.0,-87061.0,cplex_cache,0.0,0.0,0.22880668247179758,0.0008,0.0008,0.508,0.508,-87061.0,1270.0,0.2434,0.9392,18.0,1.8,2.0,,,1.168854497373104
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,15,pet3,,projected_full,projected_full,projected_full,1,15,-4015.0,-4015.0,cplex_cache,0.0024906600249066002,0.0024906600249066002,0.2947839407531491,0.0,0.0,0.678,0.678,-4005.0,1695.0,0.28090666666666664,0.9952,36.0,2.4,3.0,,,3.204281195998192
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,15,pet3,,projected_topology,projected_topology,projected_pegasus,1,15,-4015.0,-4015.0,cplex_cache,0.0,0.0,0.2065742296872929,0.0004,0.0004,0.6088,0.6088,-4015.0,1522.0,0.0,0.0,15.0,1.0,1.0,,,2.399878539144993
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,15,pet3,,unbalanced,unbalanced,unbalanced,1,15,-4015.0,-4015.0,cplex_cache,0.0024906600249066002,0.0024906600249066002,0.14036154402884177,0.0,0.0,0.6628,0.6628,-4005.0,1657.0,0.3996,0.9996,35.0,2.3333333333333335,3.0,,,1.2561947703361511
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pb5,,projected_full,projected_full,projected_full,1,20,-2139.0,-2139.0,cplex_cache,0.03740065451145395,0.03740065451145395,0.23657406025882047,0.0,0.0,0.1128,0.1128,-2059.0,282.0,0.30348,0.9996,54.0,2.7,3.0,,,13.770366221666336
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pb5,,projected_topology,projected_topology,projected_pegasus,1,20,-2139.0,-2139.0,cplex_cache,0.09350163627863488,0.09350163627863488,0.09350163627863488,0.0,0.0,0.0004,0.0004,-1939.0,1.0,0.0,0.0,20.0,1.0,1.0,,,6.093905366957188
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pb5,,unbalanced,unbalanced,unbalanced,1,20,-2139.0,-2139.0,cplex_cache,0.03740065451145395,0.03740065451145395,0.16665553551949067,0.0,0.0,0.0084,0.0084,-2059.0,21.0,0.4105,1.0,55.0,2.75,3.0,,,1.782909408211708
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pet4,,projected_full,projected_full,projected_full,1,20,-6120.0,-6120.0,cplex_cache,0.00980392156862745,0.00980392156862745,0.3248038754759073,0.0,0.0,0.2836,0.2836,-6060.0,709.0,0.39305999999999996,1.0,53.0,2.65,3.0,,,14.824489802122116
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pet4,,projected_topology,projected_topology,projected_pegasus,1,20,-6120.0,-6120.0,cplex_cache,0.014705882352941176,0.014705882352941176,0.2351480054658303,0.0,0.0,0.1588,0.1588,-6030.0,397.0,0.0,0.0,20.0,1.0,1.0,,,5.426647610962391
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,20,pet4,,unbalanced,unbalanced,unbalanced,1,20,-6120.0,-6120.0,cplex_cache,0.013071895424836602,0.013071895424836602,0.24024969112685882,0.0,0.0,0.4084,0.4084,-6040.0,1021.0,0.5878,1.0,54.0,2.7,3.0,,,1.6853134706616402
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,projected_full,projected_full,projected_full,1,27,-3090.0,-3090.0,cplex_cache,0.06763754045307444,0.06763754045307444,0.22652402836534072,0.0,0.0,0.1276,0.1276,-2881.0,319.0,0.7070518518518519,1.0,101.0,3.740740740740741,5.0,,,10.623142667114735
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,projected_topology,projected_topology,projected_pegasus,1,27,-3090.0,-3090.0,cplex_cache,0.05631067961165048,0.05631067961165048,0.19181890941991162,0.0,0.0,0.0372,0.0372,-2916.0,93.0,0.0,0.0,27.0,1.0,1.0,,,4.500722490251064
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,unbalanced,unbalanced,unbalanced,1,27,-3090.0,-3090.0,cplex_cache,0.07508090614886731,0.07508090614886731,0.19766271125494428,0.0,0.0,0.0144,0.0144,-2858.0,36.0,0.8174074074074074,1.0,102.0,3.7777777777777777,5.0,,,3.1396642923355103
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,projected_full,projected_full,projected_full,1,28,-3418.0,-3418.0,cplex_cache,0.03861907548273844,0.03861907548273844,0.23246333452877554,0.0,0.0,0.248,0.248,-3286.0,620.0,0.7204,1.0,107.0,3.8214285714285716,5.0,,,11.508927188813686
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,projected_topology,projected_topology,projected_pegasus,1,28,-3418.0,-3418.0,cplex_cache,0.053832650672908135,0.053832650672908135,0.1935004726110636,0.0,0.0,0.0468,0.0468,-3234.0,117.0,0.0,0.0,28.0,1.0,1.0,,,4.921523489058018
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,unbalanced,unbalanced,unbalanced,1,28,-3418.0,-3418.0,cplex_cache,0.058806319485078994,0.058806319485078994,0.2424262443609732,0.0,0.0,0.0372,0.0372,-3217.0,93.0,0.8653428571428572,1.0,121.0,4.321428571428571,6.0,,,2.7513425201177597
