family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap
mdkp,5,projected_chimera,5,mean,20,1.3055999999999999,0.24889999999999998,0.0
mdkp,5,projected_chimera,5,std,20,0.5804803528113592,0.10875380453115191,0.0
mdkp,5,projected_full,5,mean,20,1.3120000000000003,0.26125,0.0
mdkp,5,projected_full,5,std,20,0.5756443346372828,0.12046073011566882,0.0
mdkp,5,projected_pegasus,5,mean,20,1.312,0.246,0.0
mdkp,5,projected_pegasus,5,std,20,0.5840328757869714,0.10112764211628789,0.0
mdkp,5,projected_up_support,5,mean,20,1.3008000000000002,0.26010000000000005,0.0
mdkp,5,projected_up_support,5,std,20,0.5978328863486853,0.11819936548053038,0.0
mdkp,5,projected_zephyr,5,mean,20,1.208,0.24064999999999998,0.0
mdkp,5,projected_zephyr,5,std,20,0.5414410401881261,0.1025637728440213,0.0
mdkp,5,unbalanced,5,mean,20,1.3679999999999999,0.26739999999999997,0.0
mdkp,5,unbalanced,5,std,20,0.5350678461653251,0.11690910999575696,0.0
mdkp,10,projected_chimera,10,mean,20,2.1504000000000003,0.1295,0.00269654996246936
mdkp,10,projected_chimera,10,std,20,1.5495931853231675,0.0514076842505087,0.01024574598191022
mdkp,10,projected_full,10,mean,20,2.4064000000000005,0.21455000000000002,0.009572406733940329
mdkp,10,projected_full,10,std,20,1.781730574469664,0.06811495797546967,0.025073948698447916
mdkp,10,projected_pegasus,10,mean,20,1.3312000000000002,0.13685,0.012745320604607957
mdkp,10,projected_pegasus,10,std,20,1.2159326297126827,0.051100171232589815,0.026197647085335937
mdkp,10,projected_up_support,10,mean,20,1.9968000000000004,0.2072,0.004352181318830774
mdkp,10,projected_up_support,10,std,20,1.5006055311106914,0.06545578660439426,0.013127369808413914
mdkp,10,projected_zephyr,10,mean,20,1.7920000000000003,0.1365,0.007906355747496702
mdkp,10,projected_zephyr,10,std,20,1.3302150202128977,0.05072031151323896,0.020575070554606664
mdkp,10,unbalanced,10,mean,20,2.2016000000000004,0.17980000000000002,0.005870250156535792
mdkp,10,unbalanced,10,std,20,1.384294997462607,0.059422722926503455,0.019503245629635117
mdkp,15,projected_chimera,15,mean,20,9.830400000000001,0.11495,0.053500212725775764
mdkp,15,projected_chimera,15,std,20,18.244450264121415,0.0433537483961883,0.04090699183087935
mdkp,15,projected_full,15,mean,20,3.2768,0.21475000000000005,0.060335920741396286
mdkp,15,projected_full,15,std,20,9.8304,0.06586112282674811,0.04519438088452386
mdkp,15,projected_pegasus,15,mean,20,1.6384,0.12489999999999998,0.08063377452213508
mdkp,15,projected_pegasus,15,std,20,7.141620029097039,0.04399306763570825,0.044855085810659355
mdkp,15,projected_up_support,15,mean,20,1.6384,0.21535,0.07355625748490079
mdkp,15,projected_up_support,15,std,20,7.14162002909704,0.061928406244630585,0.03690050492142725
mdkp,15,projected_zephyr,15,mean,20,4.9152000000000005,0.12955,0.0661514675638011
mdkp,15,projected_zephyr,15,std,20,11.700516337324608,0.04460658583662283,0.05278383028914363
mdkp,15,unbalanced,15,mean,20,6.5536,0.23085,0.049327712089441665
mdkp,15,unbalanced,15,std,20,13.1072,0.0645788471560154,0.03974313754262029
mdkp,20,projected_chimera,20,mean,20,0.0,0.12109999999999999,0.1165743998193666
mdkp,20,projected_chimera,20,std,20,0.0,0.057856633154721344,0.042426995950202946
mdkp,20,projected_full,20,mean,20,0.0,0.2162,0.10520054335469416
mdkp,20,projected_full,20,std,20,0.0,0.07381097479372563,0.03367443423331205
mdkp,20,projected_pegasus,20,mean,20,0.0,0.1246,0.11488851311018385
mdkp,20,projected_pegasus,20,std,20,0.0,0.05818883054332678,0.029392494681434844
mdkp,20,projected_up_support,20,mean,20,0.0,0.21605,0.11270492793507017
mdkp,20,projected_up_support,20,std,20,0.0,0.07665994716930087,0.03975785890640248
mdkp,20,projected_zephyr,20,mean,20,0.0,0.13025,0.11992353056991915
mdkp,20,projected_zephyr,20,std,20,0.0,0.05762540672307659,0.033801689991721916
mdkp,20,unbalanced,20,mean,20,0.0,0.2533,0.09211538183186224
mdkp,20,unbalanced,20,std,20,0.0,0.0728801070251684,0.0374428975827494
mis,8,projected_chimera,8,mean,20,14.899199999999999,0.3317,0.0
mis,8,projected_chimera,8,std,20,4.559819224486866,0.07026243662156899,0.0
mis,8,projected_full,8,mean,20,15.0912,0.32060000000000005,0.0
mis,8,projected_full,8,std,20,4.255667956972208,0.06879418580083639,0.0
mis,8,projected_pegasus,8,mean,20,15.603200000000001,0.33145,0.0
mis,8,projected_pegasus,8,std,20,4.752559159021589,0.07045173880040151,0.0
mis,8,projected_up_support,8,mean,20,16.435200000000002,0.32685,0.0
mis,8,projected_up_support,8,std,20,4.664963468238525,0.07102624514924043,0.0
mis,8,projected_zephyr,8,mean,20,15.36,0.3317,0.0
mis,8,projected_zephyr,8,std,20,4.142140123173044,0.07227869672317011,0.0
mis,8,unbalanced,8,mean,20,13.0816,0.3003,0.0
mis,8,unbalanced,8,std,20,4.257534760868078,0.06823056499839351,0.0
mis,12,projected_chimera,12,mean,20,53.24800000000001,0.1895,0.0
mis,12,projected_chimera,12,std,20,33.47712694960546,0.06008369163092429,0.0
mis,12,projected_full,12,mean,20,61.44000000000001,0.186,0.0
mis,12,projected_full,12,std,20,36.7956700061298,0.057915455622830084,0.0
mis,12,projected_pegasus,12,mean,20,60.211200000000005,0.195,0.0
mis,12,projected_pegasus,12,std,20,26.070002304564532,0.06380595583485917,0.0
mis,12,projected_up_support,12,mean,20,61.03040000000001,0.18985000000000002,0.0
