family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,projected_sample_size,projected_num_quadratic_couplers,projection_method,comparison_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,5,0,projected_chimera,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-65757.0,cplex_cache,min,1e-09,10,1.056,1000,0.211,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,40996.183120852824,,,,,,,,,
mdkp,5,0,projected_full,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.672,1000,0.185,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,41017.99969910271,,,,,,,,,
mdkp,5,0,projected_pegasus,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-65757.0,cplex_cache,min,1e-09,10,1.088,1000,0.195,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,41018.00006866944,,,,,,,,,
mdkp,5,0,projected_up_support,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-65757.0,cplex_cache,min,1e-09,10,1.056,1000,0.203,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,41017.99970096046,,,,,,,,,
mdkp,5,0,projected_zephyr,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-65757.0,cplex_cache,min,1e-09,10,1.024,1000,0.205,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_zephyr,projected_zephyr,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,41017.99991000129,,,,,,,,,
mdkp,5,0,unbalanced,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-65757.0,cplex_cache,min,1e-09,10,1.536,1000,0.23,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,38002.151855172815,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,1,projected_chimera,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-42940.0,cplex_cache,min,1e-09,10,1.216,1000,0.227,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,22501.29752886092,,,,,,,,,
mdkp,5,1,projected_full,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.056,1000,0.234,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,21372.730578188417,,,,,,,,,
mdkp,5,1,projected_pegasus,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-42940.0,cplex_cache,min,1e-09,10,1.792,1000,0.253,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,22617.000287950887,,,,,,,,,
mdkp,5,1,projected_up_support,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.472,1000,0.239,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,21380.41276979316,,,,,,,,,
