stage,hardware_family,family,size,n_pairs,topology_stat,comparator_stat,delta_value,metric_key,metric_column,aggregation,compare_against,compare_against_label
before,chimera,mdkp,5,20,0.2578,0.26739999999999997,-0.035901271503365736,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,0.17570000000000002,0.17980000000000002,-0.02280311457174634,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,0.28995000000000004,0.23085,0.2560103963612737,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.43255,0.25329999999999997,0.7076589024871696,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mis,8,20,0.29785,0.3003,-0.008158508158508184,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mis,12,20,0.17955000000000002,0.1673,0.0732217573221758,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mis,16,20,0.1328,0.12969999999999998,0.023901310717039475,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,chimera,mis,20,20,0.0858,0.13635,-0.37073707370737075,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,0.26735000000000003,0.26739999999999997,-0.00018698578907980174,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,0.1745,0.17980000000000002,-0.0294771968854284,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,0.2641,0.23085,0.1440329218106996,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.34085,0.25329999999999997,0.34563758389261756,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,0.3043,0.3003,0.013320013320013332,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,0.1803,0.1673,0.07770472205618639,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,0.13555,0.12969999999999998,0.04510408635312277,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,0.10745,0.13635,-0.21195452878621193,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,0.2673,0.26739999999999997,-0.0003739715781600187,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,0.1752,0.17980000000000002,-0.025583982202447276,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,15,20,0.26295,0.23085,0.13905133203378825,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,20,20,0.32195,0.25329999999999997,0.2710225029609161,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mis,8,20,0.2989,0.3003,-0.004662004662004703,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mis,12,20,0.17850000000000002,0.1673,0.06694560669456076,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mis,16,20,0.1396,0.12969999999999998,0.07632999228989994,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
before,zephyr,mis,20,20,0.10625,0.13635,-0.22075540887422077,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,5,20,0.26305,0.15560000000000002,0.6905526992287916,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,10,20,0.1765,0.10369999999999999,0.7020250723240117,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,15,20,0.2927,0.1487,0.9683927370544723,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,20,20,0.43324999999999997,0.13774999999999998,2.1451905626134304,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mis,8,20,0.29765,0.28690000000000004,0.037469501568490694,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mis,12,20,0.17785,0.15605,0.13969881448253774,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mis,16,20,0.13165,0.11585000000000001,0.13638325420802744,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,chimera,mis,20,20,0.0889,0.11764999999999999,-0.24436889077773044,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,5,20,0.26765,0.23035,0.16192750162795747,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,10,20,0.18305,0.0517,2.5406189555125724,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,15,20,0.26465,0.07375000000000001,2.588474576271186,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,20,20,0.33735,0.151,1.2341059602649007,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mis,8,20,0.30110000000000003,0.3003,0.0026640026640027403,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mis,12,20,0.17875000000000002,0.1673,0.06843992827256434,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mis,16,20,0.1356,0.12805,0.05896134322530262,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
after,pegasus,mis,20,20,0.10535000000000001,0.1331,-0.2084898572501877,fea_mean,sqa_fea,mean,unbalanced,unbalanced penalization
