stage,hardware_family,family,size,n_pairs,topology_stat,comparator_stat,delta_value,metric_key,metric_column,aggregation,compare_against,compare_against_label
before,chimera,mdkp,5,20,0.256,0.2575,-0.005825242718446607,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,0.168,0.167,0.005988023952095813,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,0.288,0.2395,0.20250521920668055,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.4345,0.238,0.8256302521008404,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mis,8,20,0.2985,0.3115,-0.041733547351524916,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mis,12,20,0.161,0.1555,0.035369774919614176,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mis,16,20,0.1275,0.1255,0.015936254980079695,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,chimera,mis,20,20,0.0745,0.1275,-0.41568627450980394,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,0.263,0.2575,0.02135922330097089,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,0.1605,0.167,-0.038922155688622784,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,0.264,0.2395,0.1022964509394573,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.3285,0.238,0.3802521008403363,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,0.321,0.3115,0.03049759229534513,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,0.161,0.1555,0.035369774919614176,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,0.131,0.1255,0.04382470119521916,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,0.10200000000000001,0.1275,-0.19999999999999996,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,0.261,0.2575,0.01359223300970875,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,0.167,0.167,0.0,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,15,20,0.2645,0.2395,0.10438413361169112,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,20,20,0.31,0.238,0.3025210084033614,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mis,8,20,0.309,0.3115,-0.008025682182985562,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mis,12,20,0.164,0.1555,0.054662379421221916,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mis,16,20,0.14,0.1255,0.1155378486055778,fea,sqa_fea,median,unbalanced,unbalanced penalization
before,zephyr,mis,20,20,0.1005,0.1275,-0.2117647058823529,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mdkp,5,20,0.251,0.14750000000000002,0.7016949152542371,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mdkp,10,20,0.1705,0.0945,0.8042328042328043,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mdkp,15,20,0.3,0.148,1.027027027027027,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mdkp,20,20,0.42,0.1305,2.2183908045977008,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mis,8,20,0.3015,0.298,0.011744966442953031,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mis,12,20,0.1595,0.144,0.10763888888888899,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mis,16,20,0.125,0.107,0.16822429906542058,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,chimera,mis,20,20,0.0775,0.109,-0.2889908256880734,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,5,20,0.271,0.2065,0.3123486682808718,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,10,20,0.182,0.054,2.3703703703703702,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,15,20,0.2725,0.073,2.7328767123287676,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,20,20,0.3195,0.137,1.3321167883211678,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mis,8,20,0.3015,0.3115,-0.03210272873194225,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mis,12,20,0.155,0.1555,-0.003215434083601289,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mis,16,20,0.1235,0.1235,0.0,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,pegasus,mis,20,20,0.0975,0.1235,-0.21052631578947364,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,5,20,0.2555,0.22299999999999998,0.1457399103139015,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,10,20,0.166,0.0445,2.7303370786516856,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,15,20,0.256,0.0495,4.171717171717172,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,20,20,0.3065,0.0915,2.349726775956284,fea,sqa_fea,median,unbalanced,unbalanced penalization
after,zephyr,mis,8,20,0.3015,0.3115,-0.03210272873194225,fea,sqa_fea,median,unbalanced,unbalanced penalization
