stage,hardware_family,family,size,n_pairs,topology_stat,comparator_stat,delta_value,metric_key,metric_column,aggregation,compare_against,compare_against_label
before,chimera,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,0.0,0.0058702501565357805,1.0,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,0.02469001430220189,0.04932771208944163,0.4994697046270128,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.06617795463363389,0.09211538183186219,0.28157541859373464,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mis,12,20,0.00625,0.0,-inf,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mis,16,20,0.03561507936507936,0.010555555555555556,-2.3740601503759398,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,chimera,mis,20,20,0.10922979797979797,0.03398989898989899,-2.213595839524517,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,0.006652880633389095,0.0058702501565357805,-0.1333214864756581,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,0.0412502786547002,0.04932771208944163,0.16375041721163405,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.07452486076014768,0.09211538183186219,0.1909618211627501,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,0.04970238095238094,0.010555555555555556,-3.7086466165413525,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,0.08006313131313131,0.03398989898989899,-1.3554977711738485,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,0.0021211421935714353,0.0058702501565357805,0.638662384564683,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,15,20,0.026285085361267148,0.04932771208944163,0.4671334986385199,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mdkp,20,20,0.07744100221570047,0.09211538183186219,0.15930433467612176,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mis,12,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mis,16,20,0.00625,0.010555555555555556,0.40789473684210525,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
before,zephyr,mis,20,20,0.09051767676767677,0.03398989898989899,-1.6630757800891536,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,10,20,0.0,0.017354287355608098,1.0,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,15,20,0.020238197709048906,0.07340895605367045,0.7243088745976386,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mdkp,20,20,0.0754222983800378,0.12493733128746085,0.3963189576500306,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mis,12,20,0.00833333333333333,0.0,-inf,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mis,16,20,0.02450396825396825,0.005,-3.90079365079365,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,chimera,mis,20,20,0.10891414141414142,0.02996212121212121,-2.6350611040876535,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,10,20,0.00101324798060624,0.03485047779721661,0.9709258511030469,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,15,20,0.029179087612318272,0.08816664025483052,0.6690461661238181,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mdkp,20,20,0.08563724571999537,0.10675002897905754,0.19777777543464764,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mis,12,20,0.00714285714285714,0.0,-inf,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mis,16,20,0.01111111111111111,0.010555555555555556,-0.052631578947368265,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,pegasus,mis,20,20,0.0798611111111111,0.028888888888888888,-1.7644230769230769,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mdkp,5,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mdkp,10,20,0.0,0.022232006053832028,1.0,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mdkp,15,20,0.03163412157707863,0.11441527732394208,0.7235148809060397,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mdkp,20,20,0.08092391668201615,0.12454020133008874,0.3502185172518663,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mis,8,20,0.0,0.0,,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mis,12,20,0.00714285714285714,0.0,-inf,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mis,16,20,0.02325396825396825,0.010555555555555556,-1.203007518796992,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
after,zephyr,mis,20,20,0.08349747474747474,0.01843434343434343,-3.529452054794521,gap_mean,sqa_gap,mean,unbalanced,unbalanced penalization
