stage,hardware_family,family,size,n_pairs,topology_stat,comparator_stat,delta_value,metric_key,metric_column,aggregation,compare_against,compare_against_label
before,chimera,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,0.00186182479434175,0.046234958935480144,0.9597312328764067,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.06921648927707225,0.08486830381963095,0.18442473618682448,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,chimera,mis,20,20,0.1,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,0.0329467166522442,0.046234958935480144,0.28740681486879643,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.0742421744050748,0.08486830381963095,0.12520727923512728,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,0.1,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,15,20,0.01540670451657895,0.046234958935480144,0.6667736952447895,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,20,20,0.0780145169022083,0.08486830381963095,0.08075791089202018,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
before,zephyr,mis,20,20,0.1,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mdkp,15,20,0.00646418507695135,0.07870142922422815,0.9178644512473306,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mdkp,20,20,0.0734787507352766,0.12991089564615454,0.4343911619590807,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,chimera,mis,20,20,0.1,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,15,20,0.0280475033544636,0.07170054898656039,0.6088244267178367,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mdkp,20,20,0.08275034840029015,0.10368520993437814,0.20190788587241676,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,pegasus,mis,20,20,0.1,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,5,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,10,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,15,20,0.02932367937486565,0.1085144409290113,0.7297716403105388,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mdkp,20,20,0.084707052067968,0.12782147204605554,0.3373018577235046,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mis,8,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mis,12,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mis,16,20,0.0,0.0,,gap,sqa_gap,median,unbalanced,unbalanced penalization
after,zephyr,mis,20,20,0.09545454545454546,0.0,-inf,gap,sqa_gap,median,unbalanced,unbalanced penalization
