stage,hardware_family,family,size,n_pairs,topology_cop_mean,comparator_cop_mean,cop_is_zero_zero,relative_change_pct,compare_against,compare_against_label
before,chimera,mdkp,5,20,1.3055999999999999,1.3679999999999999,False,-4.561403508771931,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,2.1504000000000003,2.2016,False,-2.325581395348823,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,9.830400000000001,6.5536,False,50.000000000000014,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
before,chimera,mis,8,20,14.899199999999999,13.0816,False,13.894324853228953,unbalanced,unbalanced penalization
before,chimera,mis,12,20,53.248000000000005,39.321600000000004,False,35.41666666666667,unbalanced,unbalanced penalization
before,chimera,mis,16,20,311.296,337.5104,False,-7.76699029126214,unbalanced,unbalanced penalization
before,chimera,mis,20,20,786.432,1887.4368000000002,False,-58.333333333333336,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,1.3119999999999998,1.3679999999999999,False,-4.093567251461992,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,1.3312000000000002,2.2016,False,-39.534883720930225,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,1.6384,6.5536,False,-75.0,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,15.603200000000001,13.0816,False,19.275929549902163,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,60.2112,39.321600000000004,False,53.12499999999998,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,347.3408,337.5104,False,2.9126213592233,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,1468.0064,1887.4368000000002,False,-22.22222222222223,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,1.208,1.3679999999999999,False,-11.695906432748533,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,1.7920000000000003,2.2016,False,-18.604651162790688,unbalanced,unbalanced penalization
before,zephyr,mdkp,15,20,4.9152000000000005,6.5536,False,-24.999999999999996,unbalanced,unbalanced penalization
before,zephyr,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
before,zephyr,mis,8,20,15.36,13.0816,False,17.416829745596864,unbalanced,unbalanced penalization
before,zephyr,mis,12,20,53.248000000000005,39.321600000000004,False,35.41666666666667,unbalanced,unbalanced penalization
before,zephyr,mis,16,20,330.9568,337.5104,False,-1.9417475728155391,unbalanced,unbalanced penalization
before,zephyr,mis,20,20,2044.7232,1887.4368000000002,False,8.333333333333318,unbalanced,unbalanced penalization
after,chimera,mdkp,5,20,1.3055999999999999,1.0912000000000002,False,19.648093841642197,unbalanced,unbalanced penalization
after,chimera,mdkp,10,20,2.1504000000000003,1.6384,False,31.25000000000001,unbalanced,unbalanced penalization
after,chimera,mdkp,15,20,9.830400000000001,1.6384,False,500.0,unbalanced,unbalanced penalization
after,chimera,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
after,chimera,mis,8,20,14.899199999999999,12.608,False,18.172588832487293,unbalanced,unbalanced penalization
after,chimera,mis,12,20,53.248000000000005,37.068799999999996,False,43.646408839779035,unbalanced,unbalanced penalization
after,chimera,mis,16,20,311.296,327.68,False,-5.000000000000004,unbalanced,unbalanced penalization
after,chimera,mis,20,20,786.432,1887.4368000000002,False,-58.333333333333336,unbalanced,unbalanced penalization
after,pegasus,mdkp,5,20,1.3119999999999998,1.4768000000000001,False,-11.159263271939345,unbalanced,unbalanced penalization
after,pegasus,mdkp,10,20,1.3312000000000002,1.0752000000000002,False,23.809523809523807,unbalanced,unbalanced penalization
after,pegasus,mdkp,15,20,1.6384,0.0,False,inf,unbalanced,unbalanced penalization
after,pegasus,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
after,pegasus,mis,8,20,15.603200000000001,13.0816,False,19.275929549902163,unbalanced,unbalanced penalization
after,pegasus,mis,12,20,60.2112,39.321600000000004,False,53.12499999999998,unbalanced,unbalanced penalization
after,pegasus,mis,16,20,347.3408,301.4656,False,15.21739130434783,unbalanced,unbalanced penalization
after,pegasus,mis,20,20,1468.0064,2306.8671999999997,False,-36.36363636363635,unbalanced,unbalanced penalization
after,zephyr,mdkp,5,20,1.208,1.1888,False,1.6150740242261004,unbalanced,unbalanced penalization
after,zephyr,mdkp,10,20,1.7920000000000003,1.4848000000000001,False,20.6896551724138,unbalanced,unbalanced penalization
after,zephyr,mdkp,15,20,4.9152000000000005,0.0,False,inf,unbalanced,unbalanced penalization
after,zephyr,mdkp,20,20,0.0,0.0,True,,unbalanced,unbalanced penalization
after,zephyr,mis,8,20,15.36,13.0816,False,17.416829745596864,unbalanced,unbalanced penalization
after,zephyr,mis,12,20,53.248000000000005,39.321600000000004,False,35.41666666666667,unbalanced,unbalanced penalization
after,zephyr,mis,16,20,330.9568,321.1264,False,3.0612244897959178,unbalanced,unbalanced penalization
after,zephyr,mis,20,20,2044.7232,1782.5792000000001,False,14.705882352941163,unbalanced,unbalanced penalization
