stage,hardware_family,family,size,n_pairs,topology_stat,comparator_stat,cop_is_zero_zero,relative_change_pct,metric_key,metric_column,aggregation,compare_against,compare_against_label
before,chimera,mdkp,5,20,1.152,1.3439999999999999,False,-14.285714285714283,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mdkp,10,20,3.072,2.048,False,50.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mdkp,15,20,0.0,0.0,True,,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mdkp,20,20,0.0,0.0,True,,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mis,8,20,12.544,12.672,False,-1.0101010101010108,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mis,12,20,24.576,32.768,False,-25.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mis,16,20,65.536,360.448,False,-81.81818181818181,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,chimera,mis,20,20,0.0,1048.576,False,-100.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,5,20,1.296,1.3439999999999999,False,-3.5714285714285587,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,10,20,3.072,2.048,False,50.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,15,20,0.0,0.0,True,,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mdkp,20,20,0.0,0.0,True,,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mis,8,20,11.904,12.672,False,-6.060606060606066,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mis,12,20,26.624000000000002,32.768,False,-18.749999999999993,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mis,16,20,65.536,360.448,False,-81.81818181818181,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,pegasus,mis,20,20,0.0,1048.576,False,-100.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,5,20,1.328,1.3439999999999999,False,-1.1904761904761751,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
before,zephyr,mdkp,10,20,2.048,2.048,False,0.0,cop_median,sqa_logical_cop,median,unbalanced,unbalanced penalization
